id,car_brand,car_registration_year,car_eng_pow,customer_age,postal_code,claim_amount,policy_id,marital_status
185,Mercury,2008,498,43,4970-150,2397.22,P88262,2
186,Chrysler,1996,92,41,86083 CEDEX 9,2171.45,P09173,1
187,Buick,2005,86,39,94242,1164.87,P53665,1
188,Lexus,2008,371,27,,2031.55,P00287,1
189,Mercury,2003,169,37,562 24,1645.37,P57371,2
190,Kia,2003,381,61,,2342.52,P81894,2
191,Mitsubishi,2005,139,17,664 71,826.31,P93000,2
192,Honda,2012,263,20,,1424.94,P72615,1
193,Mercedes-Benz,2008,80,46,70317,509.38,P89882,1
194,Chrysler,1997,309,42,,854.03,P83607,2
195,Mitsubishi,1997,249,97,551 01,2053.16,P23843,1
196,Volkswagen,1997,112,46,37650-000,,P02755,
197,Lincoln,1985,444,54,,1997.73,P15598,2
198,Ford,2005,317,93,35215,2409.24,P21782,2
199,Mercury,1985,217,94,999-8521,1235.24,P78368,2
200,Acura,2002,174,33,18270-000,305.66,P54750,1
201,Honda,1984,102,60,3100-327,1274.46,P37187,2
202,Honda,2011,55,33,,2408.56,P19134,2
203,Mercedes-Benz,1999,162,56,,36.91,P43892,1
204,Mercedes-Benz,2001,92,27,,1940.9,P56395,2
205,Mazda,1992,482,86,72029 CEDEX 2,,P03742,
206,Volvo,2005,355,50,,722.53,P40948,2
207,Land Rover,1999,182,66,,740.74,P70648,1
208,Volkswagen,2004,114,53,01004 CEDEX,2299.83,P48392,2
209,Chevrolet,1996,55,61,75817 CEDEX 17,1895.2,P64721,2
210,Chevrolet,2004,124,99,8407,595.02,P27300,1
211,Dodge,1994,500,86,323-0051,2307.62,P57019,1
212,Ford,2013,369,56,,1903.69,P67081,1
213,Panoz,2007,326,46,162250,927.52,P89600,1
214,Ford,1991,111,24,,1608.9,P28936,2
215,Kia,2005,138,41,97-565,537.08,P62845,1
216,Toyota,1998,95,83,,1718.31,P13582,2
217,GMC,1997,98,24,65105,1505.96,P94345,2
218,Mazda,1988,442,62,84-360,1185.36,P47231,1
219,Pontiac,1994,148,89,215-0003,889.32,P14928,1
220,Ford,1988,443,73,,,P19178,
221,Honda,2005,374,45,1725,1428.18,P95363,2
222,Mazda,1999,382,54,,,P88297,
223,Buick,1984,69,74,4825-296,2315.06,P63563,2
224,Honda,2003,185,57,,,P86362,
225,Mercedes-Benz,2011,268,50,,,P33820,
226,Chrysler,2008,353,59,,2305.95,P70332,1
227,GMC,1994,87,32,,157.74,P11080,2
228,Scion,2004,309,40,86160-000,1305.24,P40672,1
229,Mercury,1993,407,48,,441.47,P11408,2
230,Lotus,1993,277,42,,827.23,P16810,2
231,Ram,2012,285,39,,,P15720,
232,Oldsmobile,1999,249,90,,1675.19,P41919,1
233,BMW,2006,105,69,4830-813,,P71090,
234,Land Rover,2007,367,53,29000-000,,P83367,
235,Mercedes-Benz,2009,244,53,,4.96,P82328,1
236,Chrysler,1992,108,99,,605.79,P35675,1
237,Kia,2006,401,42,,219.18,P26330,1
238,Infiniti,2011,487,85,92825,2064.34,P23394,1
239,Toyota,1976,376,32,7213,432.77,P04335,2
240,Ford,2011,496,86,29785-000,2.13,P54370,1
241,Ford,1985,168,48,24-320,657.06,P36138,2
242,Jeep,2000,242,39,666,67.98,P05548,2
243,Ford,1909,416,71,10141,1242.13,P45193,2
244,Mitsubishi,1999,102,40,57-220,1134.99,P51204,2
245,Mitsubishi,1996,154,90,,2198.12,P14892,2
246,Geo,1997,278,74,9732,53.42,P51259,1
247,Toyota,2012,163,79,645 94,75.18,P80781,1
248,Mazda,1987,56,25,2334,1152.73,P91946,1
249,Chevrolet,1991,235,99,633008,160.5,P86049,1
250,Kia,1996,296,40,,808.63,P26594,1
251,Ford,1989,62,63,348 06,431.16,P57499,2
252,Toyota,1992,257,94,,1672.76,P80227,2
253,Lamborghini,1985,184,42,70826,1134.03,P41817,2
254,Audi,2003,112,96,,2214.2,P76135,1
255,Suzuki,1996,457,74,,1488.57,P44465,1
256,Lexus,2006,86,35,156521,551.77,P13760,2
257,Kia,2007,89,93,,1526.58,P22096,1
258,Pontiac,1974,144,30,,545.18,P05602,2
259,Ford,2003,236,84,,1517.43,P48299,2
260,Ford,2006,91,88,411 00,209.46,P31495,2
261,Mitsubishi,1987,454,76,,798.79,P91766,2
262,Mazda,1994,149,65,89108-000,2016.37,P73704,1
263,Porsche,2008,110,66,,1278.5,P24846,1
264,Hyundai,2012,247,74,,412.54,P53256,1
265,Infiniti,2004,269,43,665236,1470.83,P09314,1
266,Buick,1996,140,48,1106,1650.28,P43221,1
267,BMW,2009,408,73,655 94,152.51,P50776,1
268,Ford,1986,211,49,203027,332.97,P81976,2
269,Kia,1998,427,85,,923.27,P23822,1
270,Volvo,2008,183,90,4950-840,639.72,P83160,1
271,Buick,1990,354,99,93228,946.91,P22837,1
272,Ford,1999,373,49,6262,1056.47,P69143,2
273,Infiniti,2001,68,86,416 80,904.53,P85384,2
274,Mitsubishi,1997,374,65,347743,1618.62,P44312,1
275,Lexus,2004,316,47,,1902.91,P25761,2
276,Subaru,2000,295,93,456144,1908.86,P40784,1
277,Mazda,1984,328,40,37120-000,2169.1,P54822,1
278,Honda,2003,220,57,,2150.52,P63712,2
279,Oldsmobile,1995,362,25,3025-543,2123.45,P90788,2
280,Buick,1996,374,39,33715,2087.21,P22058,2
281,Ford,2006,119,70,,4.55,P24867,1
282,Honda,2004,202,46,,1834.11,P95065,1
283,Chrysler,2006,275,25,,216.29,P63298,1
284,Suzuki,2000,379,95,64109 CEDEX,2405.22,P26760,1
285,GMC,2004,302,76,,196.23,P18987,2
286,Volkswagen,2009,266,33,,532.33,P95949,1
287,Chevrolet,1998,227,18,28009 CEDEX,838.49,P44689,1
288,Infiniti,2006,262,43,49321 CEDEX,458.61,P72932,2
289,GMC,1994,492,90,,2318.61,P26092,1
290,Infiniti,2001,371,27,50566,1611.34,P46520,1
291,BMW,2009,137,97,353539,,P05282,
292,Mitsubishi,1998,221,26,,1839.47,P14103,1
293,Ford,2002,384,69,,1027.46,P05975,1
294,Mercedes-Benz,2009,446,50,,997.43,P93872,1
295,Toyota,2001,294,41,83700-000,149.82,P48425,1
296,Dodge,2010,66,56,,271.98,P29431,2
297,BMW,2001,326,35,,1997.05,P34116,2
298,Mercedes-Benz,2012,335,24,,2108.13,P42194,1
299,Mitsubishi,2003,398,90,933 82,659.09,P21506,2
300,Toyota,1995,111,92,665161,1287.12,P51417,2
301,Toyota,2011,373,19,,,P48290,
302,Maybach,2003,371,17,,502.52,P36418,1
303,Honda,2009,297,38,,114.01,P43903,2
304,Volkswagen,1990,61,97,29411 CEDEX,150.67,P31216,1
305,Toyota,2004,83,86,,2192.7,P84355,2
306,Volkswagen,1997,126,93,,1157.91,P50157,2
307,Mazda,2012,397,42,50362,,P84301,
308,Nissan,1993,401,80,2211,620.33,P26635,1
309,Dodge,2008,176,57,22004 CEDEX 1,776.14,P30294,1
310,Ford,2000,52,20,216642,,P22692,
311,Scion,2009,293,19,,2225.28,P10612,1
312,Pontiac,1975,421,24,,454.99,P87211,1
313,Hyundai,1997,201,25,331 85,879.15,P00470,1
314,MINI,2010,364,35,,,P22427,
315,Pontiac,1988,211,45,,1469.23,P78727,1
316,Chevrolet,1995,476,77,84902 CEDEX 9,2084.68,P99153,1
317,Mercury,2008,294,48,45957 CEDEX 9,2022.07,P09211,2
318,Ford,1989,321,89,6008,124.35,P25754,1
319,Honda,2003,418,19,23440,1751.85,P03974,1
320,Mercedes-Benz,1990,493,52,,,P16476,
321,Ford,1991,,,,1881.45,P23867,2
322,Volvo,2013,373,27,,21.66,P31541,2
323,Ford,1991,382,92,,476.73,P83620,2
324,Volkswagen,1987,371,65,,959.11,P29711,1
325,Mitsubishi,2011,273,30,,25.09,P86672,2
326,Hyundai,2008,259,29,9012,882.41,P85228,2
327,Chevrolet,2004,469,20,4820-005,1053.14,P96850,2
328,Buick,1984,361,63,,98.81,P33968,1
329,Cadillac,2008,489,55,,1411.22,P96639,2
330,Toyota,2005,83,91,V7R,204.9,P54175,1
331,Mitsubishi,1995,495,62,1112,2396.5,P81081,1
332,GMC,2008,400,86,92127,553.09,P73574,1
333,Chevrolet,2009,205,29,,2247.84,P05929,1
334,Ford,2009,297,65,721 27,1681.65,P62019,2
335,Subaru,1997,341,24,11830,138.16,P70651,2
336,Honda,2011,84,60,4010,1402.05,P43775,1
337,Chevrolet,2002,207,84,9012,627.55,P62087,2
338,Lexus,2008,156,88,,1901.08,P10084,2
339,Nissan,2005,246,69,356526,652.33,P48914,2
340,Saab,1984,291,75,17980-000,724.63,P25931,1
341,Volkswagen,1987,157,62,14922 CEDEX 9,1495.95,P18619,2
342,Audi,1986,449,40,1811,2018.32,P00615,2
343,Hummer,2004,336,20,87-408,1810.03,P64327,1
344,Infiniti,1998,121,82,21-404,1827.48,P03371,1
345,Lincoln,1987,88,55,,2436.57,P80823,1
346,Porsche,1986,105,44,8284,,P32641,
347,Mazda,1992,83,74,,,P21017,
348,Toyota,2012,415,18,94107,2340.39,P26609,2
349,Chevrolet,2002,252,61,,2170.67,P63432,2
350,Ford,2003,338,23,,519.92,P01665,1
351,Lincoln,2002,95,85,11517,1870.98,P78386,2
352,Cadillac,2011,471,29,,2127.26,P08634,2
353,Volkswagen,2010,455,64,,948.83,P11039,2
354,BMW,2012,495,59,,541.04,P92999,2
355,Dodge,1993,302,100,D6W,678.25,P86948,2
356,Audi,2012,217,60,104 62,2114.85,P99243,1
357,Subaru,1999,204,47,,1297.4,P86572,1
358,Infiniti,2000,125,97,22184,318.75,P16792,1
359,Ford,1991,91,40,,7.43,P77914,1
360,Bentley,2009,178,78,13010,345.38,P04754,2
361,Chevrolet,2008,293,76,347686,1265.91,P96228,2
362,Bentley,2008,91,46,385321,1545.12,P64298,1
363,GMC,1992,169,26,45004 CEDEX 1,2315.23,P86472,1
364,Nissan,2003,210,91,,2012.91,P26851,2
365,Chevrolet,1997,100,50,86-105,1497.21,P92525,1
366,Chevrolet,1994,200,81,2770,86.51,P04637,2
367,Ram,2012,93,81,69441 CEDEX 03,1215.72,P81244,1
368,Jeep,2006,243,74,807-0133,2340.45,P59133,1
369,Suzuki,1993,208,80,,2455.94,P72061,2
370,GMC,2003,247,89,641500,63.05,P13707,1
371,Mercedes-Benz,1986,136,49,,120.45,P38901,1
372,Buick,1987,488,96,,2484.04,P14412,2
373,BMW,1998,362,83,32-087,359.09,P32061,2
374,BMW,2003,234,21,5667,,P63558,
375,Volkswagen,2009,372,40,,1216.44,P61279,1
376,Subaru,2005,487,59,,475.24,P28207,1
377,Porsche,2013,122,29,151 52,2250.79,P27685,2
378,Chevrolet,1999,410,61,31914,2196.56,P67922,2
379,Mercedes-Benz,2008,286,33,E6G,1171.79,P49349,2
380,Mercedes-Benz,2006,358,49,63600-000,2417.4,P42382,2
381,BMW,2000,116,60,591 34,1275.9,P68974,1
382,Chevrolet,1996,138,91,,382.11,P03578,2
383,Volkswagen,1993,,,,187.04,P80250,1
384,Lincoln,2012,337,64,,1117.1,P89930,1
385,Subaru,1991,442,43,,1842.57,P44068,1
386,Mazda,2001,186,22,,611.48,P71702,2
387,Toyota,1995,,,,2068.65,P76927,1
388,Mitsubishi,2004,148,73,35403,1833.35,P34585,1
389,Lexus,2012,99,74,,1285.63,P66431,1
390,Mercedes-Benz,1993,482,48,,643.22,P56789,1
391,GMC,2002,408,99,,1293.56,P64939,1
392,Chevrolet,1996,232,55,65191,250.02,P44354,1
393,Pontiac,2009,322,73,17314 CEDEX,156.67,P89142,1
394,Dodge,2004,154,93,,1536.87,P72669,2
395,Toyota,2004,83,90,08-205,714.23,P00489,1
396,Ford,1967,380,25,,1152.83,P83224,2
397,GMC,1995,159,81,412 79,1482.7,P55452,2
398,Ford,2004,430,98,9505,1911.3,P12890,1
399,Audi,1985,125,33,,2032.19,P10741,1
400,Mazda,1990,392,39,,85.67,P25356,2
401,Audi,2005,385,80,17280-000,1315.36,P49069,1
402,Hyundai,2011,446,51,,1643.03,P32197,2
403,Lotus,2006,455,70,,1939.08,P25145,2
404,Ford,2011,157,53,3505-125,2272,P91059,1
405,Mazda,1991,190,29,2662,205.39,P57989,2
406,Cadillac,2010,492,87,629320,1632,P18800,2
407,Dodge,1997,341,87,,371.99,P59895,2
408,Lotus,2012,459,50,,2338.48,P23990,2
409,Eagle,1992,377,35,601389,19.21,P59563,1
410,Ford,2002,182,54,L-3377,1604.33,P58286,2
411,Lexus,2001,256,61,,2395.41,P23530,2
412,Hyundai,2011,240,97,,1936.29,P71356,2
413,Cadillac,2011,98,85,7780,2450.92,P47590,2
414,GMC,2010,371,52,747 43,,P22515,
415,BMW,2005,,,,758.44,P91244,1
416,BMW,2006,423,50,718-0011,229.6,P08877,1
417,Plymouth,1994,342,98,19400-000,97.76,P41963,1
418,BMW,2010,,,,361.96,P13000,1
419,Chevrolet,2007,278,68,,190.21,P21529,2
420,Lincoln,2004,168,58,,1357.01,P24018,2
421,GMC,1994,224,73,,1522.64,P37755,2
422,Oldsmobile,1998,140,73,613645,515.19,P62760,2
423,Dodge,2008,387,98,249185,1094.59,P58002,1
424,Dodge,2004,251,53,41976 CEDEX 9,1872.1,P59011,2
425,Infiniti,2012,65,68,188489,1569.2,P88836,1
426,Cadillac,2011,233,20,35000,953.59,P81591,1
427,Honda,1997,322,31,,248.73,P88646,2
428,Saturn,1994,,,,1426.82,P36705,2
429,Infiniti,2012,79,72,,1517.75,P65196,2
430,Cadillac,2008,365,31,,675.48,P46571,2
431,BMW,2010,225,94,303370,1316.99,P03451,1
432,Dodge,1994,414,75,,643.86,P42074,2
433,Volkswagen,1990,93,56,,1755.67,P83380,2
434,Dodge,2001,110,56,,740.75,P16019,1
435,Buick,1997,109,58,12559,1782.73,P02133,1
436,Nissan,2005,461,28,,1209.15,P94082,1
437,Audi,2010,482,46,,1579.26,P24966,2
438,Toyota,2007,218,76,,155.8,P50793,2
439,Ford,2002,69,22,,1659.02,P89465,1
440,GMC,2006,344,46,,569.34,P55405,1
441,Dodge,1998,245,58,,1684.68,P39481,1
442,Honda,2001,379,58,,979.36,P11195,1
443,Chevrolet,1995,153,36,366606,834.49,P99814,1
444,Ford,2010,251,59,78764,695.73,P95271,1
445,BMW,2001,164,87,90140,1086.97,P94993,1
446,Mercedes-Benz,2003,168,20,30343,1942.91,P67743,1
447,Pontiac,1998,92,74,917-0102,1468.73,P90999,1
448,Dodge,2007,285,42,5317,888.5,P36895,1
449,Isuzu,1998,223,91,07-306,564.17,P03288,2
450,Ford,2005,196,56,4332,1846.59,P22428,2
451,Mercury,2005,217,27,,1381.49,P94715,2
452,Chevrolet,2001,263,20,,2316.92,P22190,2
453,Audi,2007,199,62,984 28,,P77543,
454,Chevrolet,2006,215,25,,4.4,P71260,1
455,Ford,1995,261,56,,2027.45,P78946,2
456,Dodge,1992,51,99,,1686.96,P53760,1
457,Chevrolet,2010,469,63,,681.35,P30342,1
458,Bentley,2009,237,61,97500-000,2163.33,P38223,2
459,Hyundai,2008,152,27,,585.38,P82666,1
460,BMW,2011,488,83,,2133.78,P95668,1
461,Mercury,1987,363,56,4520-162,627.27,P52311,2
462,Porsche,2006,416,99,,656.75,P54617,1
463,Mazda,2003,119,17,,1259.39,P17472,2
464,Kia,2001,80,67,,1479.94,P98755,1
465,BMW,2002,436,79,,662.61,P30373,2
466,Dodge,1995,224,82,,1483.56,P06593,1
467,Subaru,1991,374,49,,229,P04617,2
468,Volkswagen,2006,206,62,,738.15,P15483,1
469,BMW,1997,219,84,,1626.19,P19141,1
470,Honda,2005,358,21,,1584.63,P40758,1
471,Chevrolet,1970,154,30,19204 CEDEX,,P94704,
472,Mitsubishi,1998,81,53,,1925.22,P21468,2
473,Mazda,1995,203,43,307156,415.49,P30585,2
474,Nissan,1993,273,83,22-310,1221.86,P26799,2
475,Mitsubishi,1989,247,98,,,P16489,
476,Dodge,2007,133,84,,,P60928,
477,Mercedes-Benz,2011,256,99,45585-000,572.29,P95276,2
478,Jaguar,2001,448,52,L-9395,785.66,P09555,2
479,Dodge,2006,308,56,,1508.12,P99553,2
480,Acura,2012,397,79,,1815.54,P56443,1
481,Ford,1986,422,32,18-404,1942.65,P15933,1
482,Acura,2008,339,18,,710.29,P43048,1
483,Hummer,1997,235,38,,2440.32,P44185,1
484,Chevrolet,1988,378,77,9021,1441.31,P10056,2
485,Mercury,1989,130,45,,688.46,P45922,2
486,Volvo,2008,350,31,,1612.31,P99776,1
487,Volkswagen,2009,273,94,452941,283.01,P76006,2
488,Nissan,2012,352,51,P4P,53.76,P73776,1
489,Saab,1993,262,55,,1290.7,P05529,1
490,Mazda,1998,114,91,385 30,1949.46,P28319,1
491,Acura,1997,329,57,,1346.82,P98890,1
492,Chrysler,1997,302,21,63-620,227.08,P19023,2
493,GMC,2011,205,32,,2195.86,P09110,2
494,Ford,2006,206,44,659700,1383.22,P35810,2
495,Saab,1990,353,65,429127,1518.42,P20560,1
496,Toyota,2007,365,71,,,P61006,
497,Saab,1995,106,32,,1733.49,P73588,1
498,Suzuki,2009,331,63,,2016.96,P28458,1
499,Kia,1997,309,81,,227.45,P77252,1
500,Cadillac,1998,389,87,,1731.07,P64693,1
501,Plymouth,1996,404,69,552 03,1017.71,P49844,1
502,Pontiac,2003,483,57,,117.37,P95948,2
503,Audi,1991,189,82,48-320,956.52,P17902,2
504,Pontiac,2008,453,20,155334,,P04662,
505,Kia,2002,358,74,,861.43,P95548,2
506,Mercedes-Benz,1987,272,21,5461,,P53710,
507,Buick,1997,435,40,453360,36.4,P14832,2
508,Suzuki,2002,94,100,,1058.73,P11997,1
509,Mercedes-Benz,2012,439,99,34108,1069.78,P37988,2
510,Mercury,1990,235,76,,930.44,P42145,2
511,Mazda,1990,,,,375.73,P10574,2
512,Mitsubishi,1994,52,58,,962.82,P73562,1
